-x--x-oo- [0] [0] [0] [0] [0] [0] [0] [0] [11069] 
-x--x-o-o [0] [0] [0] [134] [0] [0] [0] [672] [0] 
xoxoxo--- [0] [0] [0] [0] [0] [0] [1] [16] [625] 
xoxox-o-- [0] [0] [0] [0] [0] [102] [0] [202] [15697] 
xoxox--o- [0] [0] [0] [0] [0] [85] [235] [0] [1009] 
xoxox---o [0] [0] [0] [0] [0] [332] [1030] [27] [0] 
xoxoox--- [0] [0] [0] [0] [0] [0] [0] [135] [76] 
xoxo-xo-- [0] [0] [0] [0] [97] [0] [0] [33] [10] 
xoxo-x-o- [0] [0] [0] [0] [169] [0] [0] [0] [130] 
xoxo-x--o [0] [0] [0] [0] [600] [0] [114] [170] [0] 
xoxoo-x-- [0] [0] [0] [0] [0] [0] [0] [0] [0] 
xoxo-ox-- [0] [0] [0] [0] [1] [0] [0] [22] [4] 
xoxo--x-o [0] [0] [0] [0] [682] [112] [0] [2] [0] 
xoxoo--x- [0] [0] [0] [0] [0] [3520] [0] [0] [0] 
xoxo-o-x- [0] [0] [0] [0] [88] [0] [0] [0] [0] 
xoxo--ox- [0] [0] [0] [0] [25] [28] [0] [0] [616] 
xoxo---xo [0] [0] [0] [0] [96] [5] [235] [0] [0] 
xoxoo---x [0] [0] [0] [0] [0] [502] [0] [0] [0] 
xoxo--o-x [0] [0] [0] [0] [1] [148] [0] [13] [0] 
xoxo---ox [0] [0] [0] [0] [1] [97] [0] [0] [0] 
xoxxo-o-- [0] [0] [0] [0] [0] [0] [0] [99] [0] 
xoxxo---o [0] [0] [0] [0] [0] [1] [295] [34] [0] 
xox-o-x-o [0] [0] [0] [5704] [0] [0] [0] [1] [0] 
xox-o-ox- [0] [0] [0] [283] [0] [3461] [0] [0] [56] 
xoxx--oo- [0] [0] [0] [0] [0] [0] [0] [0] [0] 
xoxx--o-o [0] [0] [0] [0] [0] [0] [0] [810] [0] 
xox-x-oo- [0] [0] [0] [0] [0] [1] [0] [0] [1465] 
xox-x-o-o [0] [0] [0] [0] [0] [0] [0] [883] [0] 
xox--xoo- [0] [0] [0] [0] [0] [0] [0] [0] [94] 
xox---oxo [0] [0] [0] [13] [131] [13] [0] [0] [0] 
xox---oox [0] [0] [0] [0] [178] [4] [0] [0] [0] 
xooxxo--- [0] [0] [0] [0] [0] [0] [1432] [25] [40] 
xooxx-o-- [0] [0] [0] [0] [0] [1] [0] [4] [1558] 
xooxx--o- [0] [0] [0] [0] [0] [172] [4] [0] [967] 
xooxx---o [0] [0] [0] [0] [0] [16] [1456] [0] [0] 
xooxox--- [0] [0] [0] [0] [0] [0] [61] [0] [0] 
xoox-xo-- [0] [0] [0] [0] [64] [0] [0] [0] [0] 
xoox-x-o- [0] [0] [0] [0] [31] [0] [1] [0] [1] 
xoox-x--o [0] [0] [0] [0] [1] [0] [4] [16] [0] 
xooxo--x- [0] [0] [0] [0] [0] [0] [46] [0] [1] 
xoox-o-x- [0] [0] [0] [0] [0] [0] [13] [0] [79] 
xoox--ox- [0] [0] [0] [0] [172] [0] [0] [0] [0] 
xoox---xo [0] [0] [0] [0] [4] [22] [19] [0] [0] 
xooxo---x [0] [0] [0] [0] [0] [0] [211] [4] [0] 
xoox-o--x [0] [0] [0] [0] [139] [0] [1] [46] [0] 
xoox--o-x [0] [0] [0] [0] [163] [7] [0] [0] [0] 
xoox---ox [0] [0] [0] [0] [1] [13] [142] [0] [0] 
xo-xoxo-- [0] [0] [0] [0] [0] [0] [0] [0] [0] 
xo-xox--o [0] [0] [0] [0] [0] [0] [28] [49] [0] 
xo-xoo-x- [0] [0] [38] [0] [0] [0] [61] [0] [5] 
xo-xo-ox- [0] [0] [141] [0] [0] [0] [0] [0] [0] 
xo-xo--xo [0] [0] [9] [0] [0] [21] [34] [0] [0] 
xo-xoo--x [0] [0] [0] [0] [0] [0] [157] [8] [0] 
xo-xo-o-x [0] [0] [0] [0] [0] [0] [0] [0] [0] 
xo-xxoo-- [0] [0] [977] [0] [0] [0] [0] [7] [16717] 
xo-xxo-o- [0] [0] [292] [0] [0] [0] [1] [0] [460] 
xo-xxo--o [0] [0] [765] [0] [0] [0] [49417] [0] [0] 
xo-x-oox- [0] [0] [6] [0] [40] [0] [0] [0] [127] 
